train_idx,Time,Open,High,Low,Close,Volume,label
3,2007-03-11,1.31236,1.31415,1.31068,1.31175,192381.0,1
9,2007-03-18,1.33064,1.33241,1.33064,1.33204,186953.0,1
15,2007-03-25,1.32801,1.32933,1.32571,1.32689,206877.0,1
21,2007-04-01,1.3371,1.3377,1.33312,1.33402,83435.0,1
25,2007-04-05,1.3372,1.3441,1.33525,1.34225,157383.50170607844,0
27,2007-04-08,1.3374,1.33798,1.3359,1.3361,41209.0,1
28,2007-04-09,1.33615,1.3381,1.334,1.3379,452817.0,1
32,2007-04-13,1.34965,1.35525,1.34845,1.35255,392266.0,1
33,2007-04-15,1.3554,1.3577,1.35221,1.3561,64269.0,1
39,2007-04-22,1.35975,1.3607,1.35915,1.3594,38833.0,1
45,2007-04-29,1.36305,1.3648,1.3615,1.36236,134314.0,0
50,2007-05-04,1.35496,1.36088,1.35344,1.35893,513053.0,0
51,2007-05-06,1.36015,1.36089,1.35883,1.36033,151008.0,0
56,2007-05-11,1.34656,1.35305,1.34628,1.35222,519579.0,1
57,2007-05-13,1.35343,1.35433,1.35271,1.35337,152853.0,0
62,2007-05-18,1.34919,1.35205,1.34648,1.35053,509342.0,0
63,2007-05-20,1.35123,1.35288,1.35123,1.35159,78458.0,0
68,2007-05-25,1.34164,1.34714,1.34114,1.3438,403512.0,1
69,2007-05-27,1.34465,1.3451,1.34399,1.34482,256337.0,0
70,2007-05-28,1.34484,1.34579,1.34407,1.34445,157383.50169640195,1
74,2007-06-01,1.34524,1.34602,1.33915,1.34439,403855.0,1
75,2007-06-03,1.3441,1.34512,1.34353,1.3445,333276.0,1
80,2007-06-08,1.34207,1.34269,1.33225,1.33708,504626.0,0
81,2007-06-10,1.33671,1.33711,1.33423,1.33466,76828.0,0
86,2007-06-15,1.3311,1.33877,1.33047,1.33867,390201.0,1
87,2007-06-17,1.33765,1.3391,1.33737,1.33836,339299.0,1
92,2007-06-22,1.33847,1.34683,1.33772,1.34676,494777.0,0
93,2007-06-24,1.34648,1.34714,1.34565,1.34705,69804.0,0
98,2007-06-29,1.34404,1.35395,1.34284,1.35393,383641.0,1
99,2007-07-01,1.35358,1.35465,1.35309,1.35318,337558.0,1
104,2007-07-06,1.35941,1.36396,1.35678,1.36253,471048.0,1
110,2007-07-13,1.37792,1.38103,1.37621,1.37811,343760.0,1
111,2007-07-15,1.37837,1.37855,1.37676,1.37785,331502.0,1
112,2007-07-16,1.37787,1.38019,1.37603,1.37754,524186.0,1
113,2007-07-17,1.37755,1.38212,1.3758,1.38115,538552.0,1
123,2007-07-29,1.36206,1.36415,1.36058,1.3626,61787.0,1
129,2007-08-05,1.3786,1.38387,1.3786,1.38093,46411.0,0
135,2007-08-12,1.36887,1.37047,1.3678,1.37025,89287.0,0
141,2007-08-19,1.3476,1.34947,1.34701,1.34931,90599.0,1
147,2007-08-26,1.36745,1.36852,1.36612,1.36768,104188.0,0
153,2007-09-02,1.36276,1.36349,1.36205,1.36305,105462.0,1
159,2007-09-09,1.37681,1.37851,1.37659,1.37753,102877.0,1
165,2007-09-16,1.3868,1.38727,1.38522,1.38685,46215.0,1
171,2007-09-23,1.40901,1.40946,1.40811,1.40906,106607.0,1
177,2007-09-30,1.42723,1.42808,1.42604,1.4266,61386.0,0
183,2007-10-07,1.4134,1.41526,1.41314,1.41362,45325.0,1
189,2007-10-14,1.41745,1.41866,1.41583,1.41607,105340.0,1
195,2007-10-21,1.43037,1.43501,1.43037,1.43316,62152.0,0
201,2007-10-28,1.44146,1.44221,1.43988,1.44062,157383.50152623263,1
207,2007-11-04,1.45132,1.45234,1.44892,1.45006,80838.0,1
210,2007-11-07,1.45527,1.47294,1.45495,1.46478,157383.50148649584,0
213,2007-11-11,1.46701,1.46758,1.46322,1.46417,49785.0,1
219,2007-11-18,1.46689,1.4688,1.46601,1.46827,35127.0,1
225,2007-11-25,1.48193,1.48393,1.48159,1.48306,81042.0,0
231,2007-12-02,1.4636,1.46653,1.46338,1.46514,49767.0,0
237,2007-12-09,1.46539,1.4659,1.46397,1.46455,33991.0,1
243,2007-12-16,1.43892,1.44359,1.43838,1.44288,81967.0,0
249,2007-12-23,1.43738,1.43838,1.43643,1.43805,50529.0,1
255,2007-12-30,1.47133,1.47393,1.47022,1.47325,34422.0,0
261,2008-01-06,1.47452,1.47547,1.4737,1.47405,81057.0,0
267,2008-01-13,1.47797,1.48159,1.47779,1.48037,49884.0,0
273,2008-01-20,1.46029,1.46042,1.45496,1.45512,34364.0,1
279,2008-01-27,1.46779,1.47084,1.46588,1.46674,80059.0,1
285,2008-02-03,1.48036,1.48073,1.47895,1.48018,50130.0,0
291,2008-02-10,1.45127,1.45456,1.45076,1.45432,35519.0,1
297,2008-02-17,1.4679,1.46806,1.46595,1.46656,81946.0,1
303,2008-02-24,1.48363,1.48396,1.4818,1.48259,49798.0,1
309,2008-03-02,1.51928,1.5274435520895364,1.51854,1.52125,34501.0,1
315,2008-03-09,1.53607,1.5403,1.53544,1.53815,89254.0,1
321,2008-03-16,1.56745,1.58061,1.54405,1.54405,91707.0,0
327,2008-03-23,1.54349,1.54389,1.53976,1.53996,105749.0,1
333,2008-03-30,1.57956,1.57984,1.57931,1.57965,45815.0,0
339,2008-04-06,1.57302,1.57375,1.56964,1.57005,90623.0,1
345,2008-04-13,1.57834,1.57834,1.56684,1.56828,106530.0,1
351,2008-04-20,1.58086,1.58261,1.57924,1.58118,61494.0,1
357,2008-04-27,1.56242,1.56291,1.55892,1.56197,62736.0,1
363,2008-05-04,1.5427,1.5451,1.54204,1.54444,46487.0,0
369,2008-05-11,1.54831,1.54846,1.54384,1.54715,104572.0,0
375,2008-05-18,1.55779,1.5598,1.55687,1.55762,61437.0,1
381,2008-05-25,1.57652,1.5791,1.57457,1.57795,45590.0,0
387,2008-06-01,1.55512,1.55655,1.55433,1.55549,105505.0,0
393,2008-06-08,1.57831,1.57986,1.57614,1.57649,60708.0,0
399,2008-06-15,1.53826,1.54126,1.53683,1.53889,46267.0,1
405,2008-06-22,1.56153,1.56357,1.55917,1.56188,104432.0,1
411,2008-06-29,1.57789,1.57979,1.57701,1.57875,60755.0,1
417,2008-07-06,1.57002,1.57064,1.56487,1.56506,45897.0,1
423,2008-07-13,1.59498,1.59709,1.5853673508664228,1.58896,104289.0,0
429,2008-07-20,1.58418,1.58583,1.58265,1.58532,62031.0,0
435,2008-07-27,1.57047,1.57067,1.56801,1.56937,46611.0,0
441,2008-08-03,1.55638,1.55818,1.55586,1.55737,104617.0,0
447,2008-08-10,1.5,1.5,1.49026,1.49568,59445.0,0
453,2008-08-17,1.46988,1.49329,1.4696,1.49329,43270.0,1
459,2008-08-24,1.47803,1.47901,1.4713,1.47247,103927.0,1
465,2008-08-31,1.46748,1.47198,1.46311,1.46331,45836.0,0
471,2008-09-07,1.42658,1.43986,1.42658,1.43517,103594.0,0
477,2008-09-14,1.42253,1.43513,1.42253,1.43109,44498.0,1
483,2008-09-21,1.44698,1.45012,1.4433,1.44733,88370.0,1
487,2008-09-25,1.46573,1.47667,1.45584,1.46657,157383.501482553,0
489,2008-09-28,1.45811,1.45811,1.44795,1.4489,115698.0,0
493,2008-10-02,1.39615,1.40145,1.37455,1.38125,113390.625,0
495,2008-10-05,1.36686,1.3704,1.361,1.3645,63385.0,0
499,2008-10-09,1.35927,1.37812,1.3551,1.35542,178124.0,1
