idx_train,path_img,label
0,all_imgs/bc7696f4-1460-4d0b-a63d-f84b3be4da0f.jpeg,0
1,all_imgs/f8d50663-60d8-4da5-a8b8-79f954aec503.jpeg,2
2,all_imgs/51df0f29-758b-4741-ab74-a0ff8e21c044.jpeg,4
3,all_imgs/f61b81d3-3b79-4162-b4d6-4f1b39518c4c.jpeg,0
4,all_imgs/b21e0668-bd09-4794-9e90-da8ecffc4c1c.jpeg,0
5,all_imgs/f74f3501-44a6-4fc5-8f5f-01abe6842420.jpeg,0
6,all_imgs/f51e365c-9b0f-4970-bbb3-39d3c64c792b.jpeg,7
7,all_imgs/fe812603-2692-4d1a-b58a-958e97618777.jpeg,5
8,all_imgs/73fbfb96-09cc-469b-b84c-f63ae29a8832.jpeg,2
9,all_imgs/5bdcc4be-9512-4534-afb6-6af732950242.jpeg,1
10,all_imgs/123c45e3-9248-404e-978c-6473aa220476.jpeg,6
11,all_imgs/5c5cf908-4cc8-4d29-8425-eb108d47ef57.jpeg,6
12,all_imgs/5b54c9e3-9b71-4326-af10-803635e87a62.jpeg,0
13,all_imgs/776b291b-3780-4b2a-8ff8-8811de92dd71.jpeg,2
14,all_imgs/4b498a73-21f5-46ba-b3d8-940c8505d8f2.jpeg,2
15,all_imgs/f682a803-c324-4952-ba2e-3fe3a7fcc0f1.jpeg,3
16,all_imgs/d5589cea-34be-475f-8836-1dc08007f4b1.jpeg,3
17,all_imgs/a9e1ef1c-c5c7-4d5e-a07d-6376a975683c.jpeg,7
18,all_imgs/5f4ac514-4624-4bf2-a6bf-9b860c9cdaf5.jpeg,5
19,all_imgs/9c66e382-01e8-4fd9-a936-b18e9d46537f.jpeg,6
20,all_imgs/e6b9a257-ca48-41f2-95bf-b512726974df.jpeg,5
21,all_imgs/bb8ee4e3-c64e-444c-a2c9-21905b5ba8e3.jpeg,5
22,all_imgs/4e8faf0d-7fd0-43d6-9af0-9317d9961d21.jpeg,7
23,all_imgs/51b6a15c-a1b8-4142-925c-6fe93d3ed9bb.jpeg,5
24,all_imgs/c9c1b968-09ef-438a-9e69-9cd7dad4aa24.jpeg,5
25,all_imgs/b5bdb599-0383-4e3c-a0ee-00ebb6650caa.jpeg,6
26,all_imgs/9f93a239-fcce-4fac-b56d-558499bc0bc6.jpeg,7
27,all_imgs/5caf13d5-0ef1-4aa1-94bc-710f8222af44.jpeg,0
